t_front,t_rear,t_top,t_bottom,t_lateral,t1_long,t2_long,h_long,t1_trans,t2_trans,inc_t_trans,d_t_trans,K_trans,ang_Z,D,N_trans
0.04398434736036598,0.019386961407686712,0.034601886757971316,0.02999850068525916,0.02780293229120642,0.051839519026158534,0.012580555167230209,0.013828863636496396,0.02941540722778432,0.016507141073355932,0.17154523691541257,0.5364665072692364,0.6976792484945142,9.591471214698696,0.4022999413915949,5
0.019922806335021127,0.010382199394508644,0.026269537390595548,0.021621140757577366,0.0420106341019617,0.09930863945672139,0.07157019866997665,0.04040447266209035,0.019545503780623016,0.0345535203970376,0.6941223327729177,0.7579699785510187,0.7958695057572227,15.9927330092444,0.6894213656478543,4
0.027807354615725643,0.02560000291522806,0.02337854186296769,0.03655555577568355,0.020176910010876722,0.09697759138312834,0.010595056301646264,0.03562166280443696,0.010563639860011905,0.013289356373363963,-0.7644471860333033,0.37175287603680307,1.3563387412259713,17.275866469397627,0.6592362047640684,3
0.0406597718603365,0.019313145924670892,0.02503941352029152,0.03911401702536194,0.03291961013364999,0.035229459895585256,0.010847879924556268,0.01926829440377955,0.01780108428851714,0.018796175242720318,-0.07011693211677339,0.36384424557102113,0.6821434911851886,23.93035076526659,0.5598564310778815,4
0.02148080926198007,0.02074761336119194,0.02930140763407979,0.03827255307185748,0.042201595830633695,0.011285914466879522,0.04016724287782389,0.04968436182601885,0.023556391857187095,0.020395392414314314,-0.7456100956545797,0.2572313287657335,0.7746535466476627,25.633579594403813,0.6328113438376868,1
0.04144189880271225,0.019056418431763957,0.040526067041743254,0.024448602485832156,0.040763679395303926,0.02391187486743627,0.08562747267019365,0.029512293544612475,0.006718926117157327,0.01949772865302216,0.6598977747972093,0.5433720863225288,0.9166414222048395,33.18905325820946,0.4749922328264683,4
0.03869800344372333,0.02759939808964322,0.027058854758280525,0.02635637995608134,0.03036834384672186,0.032577224476769064,0.01217143772954939,0.05890690368104325,0.011362243672884863,0.03706873639411955,-0.15055930594281597,0.4996204196066871,0.5190439174744201,4.384694100245934,0.6116545607842714,3
0.032576210922634685,0.02625504642411952,0.03508297838266151,0.03113297048032148,0.02141629832276149,0.017427557215215595,0.055873167416852665,0.03348689945508943,0.013244722339913292,0.03600007807583452,0.6611179509912212,0.6799684568329785,1.4250054545181405,15.704621864423725,0.5965175338576714,2
0.017113476876072987,0.022214270180940285,0.034242288974724186,0.021788749737378522,0.04030235321517388,0.04878955273431172,0.05914743889292292,0.06345922136457781,0.0173437751514742,0.023507095055176463,-0.06223194066628124,0.33734920490546616,0.9722113435104245,43.312071836314416,0.5508468774656567,4
0.019970703046068537,0.01601188315152091,0.043921679605395884,0.03729232207475208,0.02023896356714423,0.08965876362732121,0.03226574007901628,0.03172921712142561,0.03632156150385755,0.01699348288171549,-0.7897050848190373,0.4376176444038161,0.7172730066863788,29.670299212270326,0.45530545690437263,4
